Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Gen 0,Allocated
StringWriterWriteStringInterpolation,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,38.124 ns,0.8304 ns,0.8528 ns,0.0178,56 B
StringWriterWriteString,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,9.947 ns,0.0824 ns,0.0688 ns,-,0 B
StringWriterWriteSpan,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10.425 ns,0.0901 ns,0.0799 ns,-,0 B
StringWriterWriteStringBuilder,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,18.198 ns,0.1215 ns,0.1136 ns,-,0 B
StringWriterWriteBool,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10.651 ns,0.0472 ns,0.0394 ns,-,0 B
StringWriterWriteByte,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,12.040 ns,0.3147 ns,0.2790 ns,-,0 B
StringWriterWriteInt,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,20.754 ns,0.1533 ns,0.1280 ns,-,0 B
StringWriterWriteLong,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,47.405 ns,0.3707 ns,0.3286 ns,-,0 B
StringWriterWriteUInt,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,23.550 ns,0.5272 ns,0.7217 ns,-,0 B
StringWriterWriteULong,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,39.761 ns,0.1112 ns,0.1040 ns,-,0 B
StringWriterWriteChar,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,6.749 ns,0.1918 ns,0.1794 ns,-,0 B
StringWriterWriteCharArray,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,12.461 ns,0.2994 ns,0.2501 ns,-,0 B
StringWriterWriteCharArrayChunk,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,12.130 ns,0.3039 ns,0.4056 ns,-,0 B
StringWriterWriteDecimal,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,117.122 ns,2.4169 ns,4.3581 ns,-,0 B
StringWriterWriteDouble,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,193.187 ns,3.7176 ns,3.6512 ns,-,0 B
StringWriterWriteFloat,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,156.453 ns,3.1696 ns,6.1068 ns,-,0 B
StringWriterWriteObject,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,65.341 ns,1.0348 ns,0.8641 ns,0.0408,128 B
StringWriterWriteFormat1,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,58.284 ns,1.2231 ns,2.8591 ns,0.0102,32 B
StringWriterWriteFormat2,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,158.928 ns,2.9878 ns,2.6486 ns,0.0176,56 B
StringWriterWriteFormat3,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,312.774 ns,3.0781 ns,2.5704 ns,0.0277,88 B
StringWriterWriteFormat4,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,607.754 ns,3.7974 ns,3.5521 ns,0.0534,168 B
StringWriterWriteLineStringInterpolation,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,40.241 ns,0.4884 ns,0.4329 ns,0.0178,56 B
StringWriterWriteLineString,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,14.759 ns,0.3236 ns,0.3027 ns,-,0 B
StringWriterWriteLineSpan,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,17.359 ns,0.4228 ns,0.7731 ns,-,0 B
StringWriterWriteLineStringBuilder,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,26.404 ns,0.5801 ns,0.9850 ns,-,0 B
StringWriterWriteLineBool,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,18.796 ns,0.4389 ns,0.4105 ns,-,0 B
StringWriterWriteLineByte,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,22.986 ns,0.4867 ns,0.6329 ns,-,0 B
StringWriterWriteLineInt,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,31.501 ns,0.4972 ns,0.4152 ns,-,0 B
StringWriterWriteLineLong,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,65.247 ns,0.5804 ns,0.4846 ns,-,0 B
StringWriterWriteLineUInt,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,33.774 ns,0.3990 ns,0.3537 ns,-,0 B
StringWriterWriteLineULong,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,53.151 ns,1.0591 ns,0.9907 ns,-,0 B
StringWriterWriteLineChar,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,15.487 ns,0.2697 ns,0.2252 ns,-,0 B
StringWriterWriteLineCharArray,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,23.183 ns,0.5076 ns,0.5213 ns,-,0 B
StringWriterWriteLineCharArrayChunk,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,21.177 ns,0.2027 ns,0.1693 ns,-,0 B
StringWriterWriteLineDecimal,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,123.636 ns,1.1039 ns,0.9218 ns,-,0 B
StringWriterWriteLineDouble,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,221.346 ns,4.3684 ns,5.2003 ns,-,0 B
StringWriterWriteLineFloat,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,176.999 ns,1.1321 ns,1.0036 ns,-,0 B
StringWriterWriteLineObject,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,80.296 ns,0.9897 ns,0.8774 ns,0.0408,128 B
StringWriterWriteLineFormat1,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,74.787 ns,1.5258 ns,1.6959 ns,0.0101,32 B
StringWriterWriteLineFormat2,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,163.317 ns,1.1898 ns,0.9936 ns,0.0176,56 B
StringWriterWriteLineFormat3,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,330.836 ns,3.9549 ns,3.3025 ns,0.0277,88 B
StringWriterWriteLineFormat4,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,638.085 ns,11.5955 ns,11.9077 ns,0.0534,168 B
StringWriterWriteReadOnlyMemoryAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,17.508 ns,0.2187 ns,0.2045 ns,-,0 B
StringWriterWriteStringBuilderAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,19.682 ns,0.1580 ns,0.1401 ns,-,0 B
StringWriterWriteCharAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8.878 ns,0.2142 ns,0.3862 ns,-,0 B
StringWriterWriteCharArrayAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,14.094 ns,0.2766 ns,0.2452 ns,-,0 B
StringWriterWriteCharArrayChunkAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,12.478 ns,0.0495 ns,0.0413 ns,-,0 B
StringWriterWriteStringAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,11.353 ns,0.1005 ns,0.0891 ns,-,0 B
StringWriterWriteInterpolatedStringAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,38.526 ns,0.7624 ns,1.6248 ns,0.0178,56 B
StringWriterWriteLineReadOnlyMemoryAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,22.911 ns,0.3824 ns,0.3577 ns,-,0 B
StringWriterWriteLineStringBuilderAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,28.699 ns,0.5388 ns,0.5292 ns,-,0 B
StringWriterWriteLineCharAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,17.858 ns,0.3917 ns,0.5094 ns,-,0 B
StringWriterWriteLineCharArrayAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,22.420 ns,0.2846 ns,0.2662 ns,-,0 B
StringWriterWriteLineCharArrayChunkAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,22.025 ns,0.4637 ns,0.5155 ns,-,0 B
StringWriterWriteLineStringAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,18.136 ns,0.3880 ns,0.4619 ns,-,0 B
StringWriterWriteLineInterpolatedStringAsync,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,38.866 ns,0.2962 ns,0.2625 ns,0.0178,56 B
